Comarques,2018,2017,2016,2015,2014,2013,2012
Alt Camp,81,108,81,55,52,44,55
Alt Emporda,164,128,193,169,153,212,290
Alt Penedes,309,348,377,348,287,256,330
Alt Urgell,27,25,37,23,37,40,42
Alta Ribagorça,12,6,11,8,9,-,-
Anoia,163,204,218,206,213,118,196
Bages,396,402,337,330,185,187,90
Baix Camp,430,474,557,525,590,413,605
Baix Ebre,35,47,53,71,33,54,33
Baix Emporda,213,199,317,249,150,197,194
Baix Llobregat,3530,3406,2826,2300,1248,975,2558
Baix Penedes,183,184,171,163,197,79,109
Barcelones,9958,13369,11564,9232,7525,8657,10064
Bergueda,10,25,48,29,26,41,48
Cerdanya,24,28,23,23,13,13,52
Conca de Barbera,35,19,21,30,17,6,22
Garraf,484,460,501,362,290,217,349
Garrigues,8,9,6,4,10,13,-
Garrotxa,232,178,221,124,133,169,180
Girones,463,443,366,324,331,228,367
Maresme,1210,1159,944,573,486,667,495
Montsia,103,74,76,89,120,114,83
Noguera,54,75,105,112,83,51,6
Osona,332,499,364,314,201,184,98
Pallars Jussa,79,90,70,109,47,7,7
Pallars Sobira,44,32,29,27,18,84,5
Pla de l'Estany,30,60,74,73,50,35,74
Pla d'Urgell,97,99,85,123,128,74,104
Priorat,5,3,5,1,-,1,2
Ribera d'Ebre,23,29,37,44,29,3,22
Ripolles,56,40,45,47,29,23,17
Segarra,31,48,47,71,81,46,43
Segria,706,683,824,648,513,614,463
Selva,165,143,210,188,139,178,202
Solsones,55,39,45,57,8,26,4
Tarragones,603,566,530,535,656,386,463
Terra Alta,14,13,13,18,29,19,18
Urgell,108,89,102,61,29,32,49
Val d'Aran,27,22,19,19,30,26,-
Valles Occidental,4771,4266,4650,3027,1945,2141,3247
Valles Oriental,752,874,720,555,376,223,280
